year,sales,advertising
1975,11.7,9.4
1976,12.0,9.6
1977,12.3,10
1978,12.8,10.4
1979,13.1,10.8
1980,13.6,10.9
1981,13.9,11.7
1982,14.4,12.2
1983,14.7,12.5
1984,15.3,12.9
1985,15.5,13.0
1986,15.8,13.2
1987,16.1,13.8
1988,16.6,14.2
1989,16.9,14.6
1990,16.7,14.4
1991,16.9,15.0
1992,17.4,15.4
1993,17.6,15.7
1994,17.9,15.9
1995,18.0,15.9
1996,17.9,16.0
1997,18.0,16.3
1998,18.2,16.2
1999,18.2,16.8
2000,18.3,17.3
2001,18.6,17.6
2002,19.2,18.1
2003,19.3,18.3
2004,19.5,18.5
2005,19.2,18.7
2006,19.3,18.9
2007,19.5,19.2
2008,20.0,20.0
2009,20.0,20.0
2010,19.9,20.3
2011,19.8,20.4
2012,19.9,21.0
2013,20.2,21.5
2014,21.0,22.1
