KOTA,TANGGAL,SUHU MAX ,,,731,rand
Delhi,01/01/2023,18.01,BRADJA ,,Bradja ,0.08647226789
Delhi,02/01/2023,17.08,,,Thara,0.251153096
Delhi,03/01/2023,16.05,,,Natir ,0.3657129847
Delhi,04/01/2023,16.05,,,Kezia,0.4533462516
Delhi,05/01/2023,15.04,,,Aisyah ,0.9424053155
Delhi,06/01/2023,13.09,,,,
Delhi,07/01/2023,15,,,,
Delhi,08/01/2023,17,,,,
Delhi,09/01/2023,17.01,,,,
Delhi,10/01/2023,18.02,,,,
Delhi,11/01/2023,19.03,,,,
Delhi,12/01/2023,20.02,,,,
Delhi,13/01/2023,18,,,,
Delhi,14/01/2023,17,,,,
Delhi,15/01/2023,15.03,,,,
Delhi,16/01/2023,15.05,,,,
Delhi,17/01/2023,16.03,,,,
Delhi,18/01/2023,16.05,,,,
Delhi,19/01/2023,18,,,,
Delhi,20/01/2023,19.07,,,,
Delhi,21/01/2023,20.03,,,,
Delhi,22/01/2023,21.05,,,,
Delhi,23/01/2023,22.07,,,,
Delhi,24/01/2023,20.09,,,,
Delhi,25/01/2023,21,,,,
Delhi,26/01/2023,18.08,,,,
Delhi,27/01/2023,18.06,,,,
Delhi,28/01/2023,20.06,,,,
Delhi,29/01/2023,16.04,,,,
Delhi,30/01/2023,16.04,,,,
Delhi,31/01/2023,20.05,,,,
Delhi,01/02/2023,20.01,,,,
Delhi,02/02/2023,21.07,,,,
Delhi,03/02/2023,22.04,,,,
Delhi,04/02/2023,22.08,,,,
Delhi,05/02/2023,23.03,,,,
Delhi,06/02/2023,25.03,,,,
Delhi,07/02/2023,23.05,,,,
Delhi,08/02/2023,22.08,,,,
Delhi,09/02/2023,26,,,,
Delhi,10/02/2023,25.07,,,,
Delhi,11/02/2023,26.02,,,,
Delhi,12/02/2023,22.04,,,,
Delhi,13/02/2023,21.05,,,,
Delhi,14/02/2023,23.09,,,,
Delhi,15/02/2023,26.03,,,,
Delhi,16/02/2023,26.04,,,,
Delhi,17/02/2023,26.09,,,,
Delhi,18/02/2023,26.05,,,,
Delhi,19/02/2023,28.03,,,,
Delhi,20/02/2023,31.01,,,,
Delhi,21/02/2023,29.06,,,,
Delhi,22/02/2023,28.07,,,,
Delhi,23/02/2023,28.01,,,,
Delhi,24/02/2023,28.03,,,,
Delhi,25/02/2023,28.05,,,,
Delhi,26/02/2023,29.09,,,,
Delhi,27/02/2023,30.03,,,,
Delhi,28/02/2023,29.04,,,,
Delhi,01/03/2023,30,,,,
Delhi,02/03/2023,30.03,,,,
Delhi,03/03/2023,31.01,,,,
Delhi,04/03/2023,30.04,,,,
Delhi,05/03/2023,30.02,,,,
Delhi,06/03/2023,29.02,,,,
Delhi,07/03/2023,29.01,,,,
Delhi,08/03/2023,28.02,,,,
Delhi,09/03/2023,28.05,,,,
Delhi,10/03/2023,29.08,,,,
Delhi,11/03/2023,30.03,,,,
Delhi,12/03/2023,32.01,,,,
Delhi,13/03/2023,32.03,,,,
Delhi,14/03/2023,32,,,,
Delhi,15/03/2023,32.06,,,,
Delhi,16/03/2023,32.04,,,,
Delhi,17/03/2023,29.01,,,,
Delhi,18/03/2023,26.05,,,,
Delhi,19/03/2023,25.02,,,,
Delhi,20/03/2023,23.05,,,,
Delhi,21/03/2023,23.01,,,,
Delhi,22/03/2023,26.02,,,,
Delhi,23/03/2023,28,,,,
Delhi,24/03/2023,27.02,,,,
Delhi,25/03/2023,26.03,,,,
Delhi,26/03/2023,27.06,,,,
Delhi,27/03/2023,26.07,,,,
Delhi,28/03/2023,28.04,,,,
Delhi,29/03/2023,31.02,,,,
Delhi,30/03/2023,30.08,,,,
Delhi,31/03/2023,23.08,,,,
Delhi,01/04/2023,25.03,,,,
Delhi,02/04/2023,28.04,,,,
Delhi,03/04/2023,31.02,,,,
Delhi,04/04/2023,28.03,,,,
Delhi,05/04/2023,30.03,,,,
Delhi,06/04/2023,31.08,,,,
Delhi,07/04/2023,31.09,,,,
Delhi,08/04/2023,32.04,,,,
Delhi,09/04/2023,33.06,,,,
Delhi,10/04/2023,33.09,,,,
Delhi,11/04/2023,36.07,,,,
Delhi,12/04/2023,36.09,,,,
Delhi,13/04/2023,37.08,,,,
Delhi,14/04/2023,37.08,,,,
Delhi,15/04/2023,39.03,,,,
Delhi,16/04/2023,39.02,,,,
Delhi,17/04/2023,39.02,,,,
Delhi,18/04/2023,39.01,,,,
Delhi,19/04/2023,37.05,,,,
Delhi,20/04/2023,34.06,,,,
Delhi,21/04/2023,35.01,,,,
Delhi,22/04/2023,34.08,,,,
Delhi,23/04/2023,34.01,,,,
Delhi,24/04/2023,32.01,,,,
Delhi,25/04/2023,33.03,,,,
Delhi,26/04/2023,35.03,,,,
Delhi,27/04/2023,36.04,,,,
Delhi,28/04/2023,33.07,,,,
Delhi,29/04/2023,33.01,,,,
Delhi,30/04/2023,30.01,,,,
Delhi,01/05/2023,26.08,,,,
Delhi,02/05/2023,27.01,,,,
Delhi,03/05/2023,27.06,,,,
Delhi,04/05/2023,29.01,,,,
Delhi,05/05/2023,30.03,,,,
Delhi,06/05/2023,34.04,,,,
Delhi,07/05/2023,35.03,,,,
Delhi,08/05/2023,36.01,,,,
Delhi,09/05/2023,37.02,,,,
Delhi,10/05/2023,36.08,,,,
Delhi,11/05/2023,38.08,,,,
Delhi,12/05/2023,41.07,,,,
Delhi,13/05/2023,41.05,,,,
Delhi,14/05/2023,40,,,,
Delhi,15/05/2023,40.02,,,,
Delhi,16/05/2023,38.09,,,,
Delhi,17/05/2023,41,,,,
Delhi,18/05/2023,38,,,,
Delhi,19/05/2023,38.02,,,,
Delhi,20/05/2023,40.03,,,,
Delhi,21/05/2023,43,,,,
Delhi,22/05/2023,42.06,,,,
Delhi,23/05/2023,43.05,,,,
Delhi,24/05/2023,38.01,,,,
Delhi,25/05/2023,33.03,,,,
Delhi,26/05/2023,33.08,,,,
Delhi,27/05/2023,33.04,THARA,,,
Delhi,28/05/2023,33.03,,,,
Delhi,29/05/2023,33.02,,,,
Delhi,30/05/2023,33.05,,,,
Delhi,31/05/2023,30.01,,,,
Delhi,01/06/2023,33,,,,
Delhi,02/06/2023,32.05,,,,
Delhi,03/06/2023,34.09,,,,
Delhi,04/06/2023,35.09,,,,
Delhi,05/06/2023,37.03,,,,
Delhi,06/06/2023,38.08,,,,
Delhi,07/06/2023,38.04,,,,
Delhi,08/06/2023,39.04,,,,
Delhi,09/06/2023,41.04,,,,
Delhi,10/06/2023,41.01,,,,
Delhi,11/06/2023,39.03,,,,
Delhi,12/06/2023,41.02,,,,
Delhi,13/06/2023,42.03,,,,
Delhi,14/06/2023,41,,,,
Delhi,15/06/2023,37.05,,,,
Delhi,16/06/2023,38.02,,,,
Delhi,17/06/2023,39.04,,,,
Delhi,18/06/2023,38.08,,,,
Delhi,19/06/2023,32.01,,,,
Delhi,20/06/2023,36.08,,,,
Delhi,21/06/2023,35.08,,,,
Delhi,22/06/2023,36.02,,,,
Delhi,23/06/2023,35.05,,,,
Delhi,24/06/2023,34.02,,,,
Delhi,25/06/2023,32.04,,,,
Delhi,26/06/2023,32.09,,,,
Delhi,27/06/2023,33.06,,,,
Delhi,28/06/2023,33.07,,,,
Delhi,29/06/2023,32.01,,,,
Delhi,30/06/2023,33.06,,,,
Delhi,01/07/2023,33,,,,
Delhi,02/07/2023,35,,,,
Delhi,03/07/2023,36.05,,,,
Delhi,04/07/2023,36.04,,,,
Delhi,05/07/2023,33.01,,,,
Delhi,06/07/2023,33.02,,,,
Delhi,07/07/2023,32.09,,,,
Delhi,08/07/2023,29.05,,,,
Delhi,09/07/2023,30.07,,,,
Delhi,10/07/2023,31,,,,
Delhi,11/07/2023,33.03,,,,
Delhi,12/07/2023,33.03,,,,
Delhi,13/07/2023,33.03,,,,
Delhi,14/07/2023,33.06,,,,
Delhi,15/07/2023,33.02,,,,
Delhi,16/07/2023,33.01,,,,
Delhi,17/07/2023,33.03,,,,
Delhi,18/07/2023,31.05,,,,
Delhi,19/07/2023,33,,,,
Delhi,20/07/2023,35.02,,,,
Delhi,21/07/2023,35.05,,,,
Delhi,22/07/2023,34.03,,,,
Delhi,23/07/2023,34.03,,,,
Delhi,24/07/2023,34,,,,
Delhi,25/07/2023,34.02,,,,
Delhi,26/07/2023,29.08,,,,
Delhi,27/07/2023,31.09,,,,
Delhi,28/07/2023,32.07,,,,
Delhi,29/07/2023,31.04,,,,
Delhi,30/07/2023,33.03,,,,
Delhi,31/07/2023,33.07,,,,
Delhi,01/08/2023,34.07,,,,
Delhi,02/08/2023,34.09,,,,
Delhi,03/08/2023,34,,,,
Delhi,04/08/2023,31.08,,,,
Delhi,05/08/2023,33.06,,,,
Delhi,06/08/2023,34.08,,,,
Delhi,07/08/2023,34.01,,,,
Delhi,08/08/2023,34.02,,,,
Delhi,09/08/2023,34.06,,,,
Delhi,10/08/2023,34.01,,,,
Delhi,11/08/2023,34.06,,,,
Delhi,12/08/2023,35.08,,,,
Delhi,13/08/2023,35.06,,,,
Delhi,14/08/2023,33.07,,,,
Delhi,15/08/2023,34.08,,,,
Delhi,16/08/2023,36.04,,,,
Delhi,17/08/2023,36.07,,,,
Delhi,18/08/2023,36.07,,,,
Delhi,19/08/2023,34.06,,,,
Delhi,20/08/2023,36.06,,,,
Delhi,21/08/2023,36.09,,,,
Delhi,22/08/2023,35.03,,,,
Delhi,23/08/2023,29.09,,,,
Delhi,24/08/2023,33.04,,,,
Delhi,25/08/2023,34.02,,,,
Delhi,26/08/2023,34.05,,,,
Delhi,27/08/2023,35.04,,,,
Delhi,28/08/2023,34.07,,,,
Delhi,29/08/2023,35.09,,,,
Delhi,30/08/2023,37.03,,,,
Delhi,31/08/2023,37.03,,,,
Delhi,01/09/2023,38.04,,,,
Delhi,02/09/2023,38.01,,,,
Delhi,03/09/2023,37.06,,,,
Delhi,04/09/2023,37.09,,,,
Delhi,05/09/2023,36.04,,,,
Delhi,06/09/2023,36.03,,,,
Delhi,07/09/2023,39,,,,
Delhi,08/09/2023,36.08,,,,
Delhi,09/09/2023,32.08,,,,
Delhi,10/09/2023,29.09,,,,
Delhi,11/09/2023,32.01,,,,
Delhi,12/09/2023,33.05,,,,
Delhi,13/09/2023,33.09,,,,
Delhi,14/09/2023,34.01,,,,
Delhi,15/09/2023,32,,,,
Delhi,16/09/2023,31.06,,,,
Delhi,17/09/2023,31.05,,,,
Delhi,18/09/2023,31.06,,,,
Delhi,19/09/2023,33,,,,
Delhi,20/09/2023,33.01,,,,
Delhi,21/09/2023,33.01,,,,
Delhi,22/09/2023,33,,,,
Delhi,23/09/2023,32.03,,,,
Delhi,24/09/2023,32.06,,,,
Delhi,25/09/2023,32.07,,,,
Delhi,26/09/2023,32.09,,,,
Delhi,27/09/2023,33.02,,,,
Delhi,28/09/2023,33,,,,
Delhi,29/09/2023,33.01,,,,
Delhi,30/09/2023,34.07,,,,
Delhi,01/10/2023,34.07,,,,
Delhi,02/10/2023,33.09,,,,
Delhi,03/10/2023,34.01,,,,
Delhi,04/10/2023,34,,,,
Delhi,05/10/2023,34.04,,,,
Delhi,06/10/2023,35.04,,,,
Delhi,07/10/2023,35.03,,,,
Delhi,08/10/2023,35.06,,,,
Delhi,09/10/2023,35.06,,,,
Delhi,10/10/2023,34.01,,,,
Delhi,11/10/2023,33.08,,,,
Delhi,12/10/2023,33.03,,,,
Delhi,13/10/2023,34.09,,,,
Delhi,14/10/2023,35.02,,,,
