KOTA,TANGGAL,SUHU_MAX 
Delhi,20/10/2023,"29,02"
Delhi,21/10/2023,"29,02"
Delhi,22/10/2023,"29,02"
Delhi,23/10/2023,"29,02"
Delhi,24/10/2023,"29,02"
Delhi,25/10/2023,"29,02"
Delhi,26/10/2023,"29,02"
Delhi,27/10/2023,"29,02"
Delhi,28/10/2023,"29,02"
Delhi,29/10/2023,"29,02"
Delhi,30/10/2023,"29,02"
Delhi,31/10/2023,"29,02"
Delhi,01/11/2023,"29,02"
Delhi,02/11/2023,"29,02"
Delhi,03/11/2023,"29,02"
Delhi,04/11/2023,"29,02"
Delhi,05/11/2023,"29,02"
Delhi,06/11/2023,"29,02"
Delhi,07/11/2023,"29,02"
Delhi,08/11/2023,"29,02"
Delhi,09/11/2023,"29,02"
Delhi,10/11/2023,"29,02"
Delhi,11/11/2023,"29,02"
Delhi,12/11/2023,"29,02"
Delhi,13/11/2023,"29,02"
Delhi,14/11/2023,"29,02"
Delhi,15/11/2023,"29,02"
Delhi,16/11/2023,"29,02"
Delhi,17/11/2023,"29,02"
Delhi,18/11/2023,"29,02"
Delhi,19/11/2023,"29,02"
Delhi,20/11/2023,"29,02"
Delhi,21/11/2023,"29,02"
Delhi,22/11/2023,"29,02"
Delhi,23/11/2023,"29,02"
Delhi,24/11/2023,"29,02"
Delhi,25/11/2023,"29,02"
Delhi,26/11/2023,"29,02"
Delhi,27/11/2023,"29,02"
Delhi,28/11/2023,"29,02"
Delhi,29/11/2023,"29,02"
Delhi,30/11/2023,"29,02"
Delhi,01/12/2023,"29,02"
Delhi,02/12/2023,"29,02"
Delhi,03/12/2023,"29,02"
Delhi,04/12/2023,"29,02"
Delhi,05/12/2023,"29,02"
Delhi,06/12/2023,"29,02"
Delhi,07/12/2023,"29,02"
Delhi,08/12/2023,"29,02"
Delhi,09/12/2023,"29,02"
Delhi,10/12/2023,"29,02"
Delhi,11/12/2023,"29,02"
Delhi,12/12/2023,"29,02"
Delhi,13/12/2023,"29,02"
Delhi,14/12/2023,"29,02"
Delhi,15/12/2023,"29,02"
Delhi,16/12/2023,"29,02"
Delhi,17/12/2023,"29,02"
Delhi,18/12/2023,"29,02"
Delhi,19/12/2023,"29,02"
Delhi,20/12/2023,"29,02"
Delhi,21/12/2023,"29,02"
Delhi,22/12/2023,"29,02"
Delhi,23/12/2023,"29,02"
Delhi,24/12/2023,"29,02"
Delhi,25/12/2023,"29,02"
Delhi,26/12/2023,"29,02"
Delhi,27/12/2023,"29,02"
Delhi,28/12/2023,"29,02"
Delhi,29/12/2023,"29,02"
Delhi,30/12/2023,"29,02"
Delhi,31/12/2023,"29,02"
Delhi,01/01/2024,"29,02"
Delhi,02/01/2024,"29,02"
Delhi,03/01/2024,"29,02"
Delhi,04/01/2024,"29,02"
Delhi,05/01/2024,"29,02"
Delhi,06/01/2024,"29,02"
Delhi,07/01/2024,"29,02"
Delhi,08/01/2024,"29,02"
Delhi,09/01/2024,"29,02"
Delhi,10/01/2024,"29,02"
Delhi,11/01/2024,"29,02"
Delhi,12/01/2024,"29,02"
Delhi,13/01/2024,"29,02"
Delhi,14/01/2024,"29,02"
Delhi,15/01/2024,"29,02"
Delhi,16/01/2024,"29,02"
Delhi,17/01/2024,"29,02"
Delhi,18/01/2024,"29,02"
Delhi,19/01/2024,"29,02"
Delhi,20/01/2024,"29,02"
Delhi,21/01/2024,"29,02"
Delhi,22/01/2024,"29,02"
Delhi,23/01/2024,"29,02"
Delhi,24/01/2024,"29,02"
Delhi,25/01/2024,"29,02"
Delhi,26/01/2024,"29,02"
Delhi,27/01/2024,"29,02"
Delhi,28/01/2024,"29,02"
Delhi,29/01/2024,"29,02"
Delhi,30/01/2024,"29,02"
Delhi,31/01/2024,"29,02"
Delhi,01/02/2024,"29,02"
Delhi,02/02/2024,"29,02"
Delhi,03/02/2024,"29,02"
Delhi,04/02/2024,"29,02"
Delhi,05/02/2024,"29,02"
Delhi,06/02/2024,"29,02"
Delhi,07/02/2024,"29,02"
Delhi,08/02/2024,"29,02"
Delhi,09/02/2024,"29,02"
Delhi,10/02/2024,"29,02"
Delhi,11/02/2024,"29,02"
Delhi,12/02/2024,"29,02"
Delhi,13/02/2024,"29,02"
Delhi,14/02/2024,"29,02"
Delhi,15/02/2024,"29,02"
Delhi,16/02/2024,"29,02"
Delhi,17/02/2024,"29,02"
Delhi,18/02/2024,"29,02"
Delhi,19/02/2024,"29,02"
Delhi,20/02/2024,"29,02"
Delhi,21/02/2024,"29,02"
Delhi,22/02/2024,"29,02"
Delhi,23/02/2024,"29,02"
Delhi,24/02/2024,"29,02"
Delhi,25/02/2024,"29,02"
Delhi,26/02/2024,"29,02"
Delhi,27/02/2024,"29,02"
Delhi,28/02/2024,"29,02"
Delhi,29/02/2024,"29,02"
Delhi,01/03/2024,"29,02"
Delhi,02/03/2024,"29,02"
Delhi,03/03/2024,"29,02"
Delhi,04/03/2024,"29,02"
Delhi,05/03/2024,"29,02"
Delhi,06/03/2024,"29,02"
Delhi,07/03/2024,"29,02"
Delhi,08/03/2024,"29,02"
Delhi,09/03/2024,"29,02"
Delhi,10/03/2024,"29,02"
Delhi,11/03/2024,"29,02"
Delhi,12/03/2024,"29,02"
Delhi,13/03/2024,"29,02"
